train_id,drive_mode,pos_m,speed_kmh,distance_to_eoa_m,distance_to_train_ahead_m,headway_s,atp_action,ato_profile_phase,traction_work_kwh,brake_work_kwh,coast_distance_m,distance_m,runtime_accel_ms2,runtime_traction_force_n,runtime_brake_force_n,sbi_count,ebi_count,collision_count,collision_latched,collision_partner_id,collision_overlap_m
T01,ATO,2000.0,0.0,-1.4500000000000455,,,,,33.88889873738465,2.5834633205195585,0.0,2104.9999999999945,0.0,0.0,0.0,29,0,0,False,,0.0
T02,ATO,2000.0,0.0,-1.4500000000000455,,,,,33.82336181885178,5.408952465519017,0.0,2105.0000000000027,0.0,0.0,0.0,29,0,0,False,,0.0
T03,ATO,2000.0,0.0,-1.4500000000000455,,,,,33.88889873738465,2.5834633205195585,0.0,2104.9999999999945,0.0,0.0,0.0,29,0,0,False,,0.0
T04,ATO,2000.0,0.0,-1.4500000000000455,,,,,34.3970162447168,15.462572466202033,0.0,2105.000000000002,0.0,0.0,0.0,29,0,0,False,,0.0
