mode,minimum_headway_s,average_headway_s,maximum_headway_s,trains_per_hour,average_dispatch_delay_s,average_distance_to_train_ahead_m
MOVING_BLOCK,13.822219433471775,1520.5530480315513,2604.464385343589,2.367559622244301,0.0,187.9592287875292
FIXED_BLOCK_BASELINE,1642.1972918740753,1824.6636576378614,2995.134043145127,1.972966351870251,304.11060960631016,276.66666666666663
